epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,51.0,,51.0,7.99089520275713e-06,7.99089520275713e-06,2.560900873304133e-05,0.5047080946601291,0.5352564987260962,0.51,1.266651800274849,2.560900873304133e-05,2.560900873304133e-05,0.8757873388240943,0.0,1.266651800274849,0.8765175675323673,0.8756
1,1,1,52.0,,52.0,3.706419635877522e-05,4.5055091561532344e-05,8.361887426502483e-05,0.5134986709471426,0.5458972361311167,0.5199999999999999,0.4243962988257408,5.80098655319835e-05,8.361887426502483e-05,0.9756695840909956,0.0,0.4243962988257408,0.9758498819518147,0.9756
2,2,2,54.8,,54.8,6.584816675227347e-05,0.00011090325831380582,0.00017045801627015294,0.5369622823216252,0.582371571554921,0.5479999999999999,0.13446417823433876,8.683914200512809e-05,0.00017045801627015294,0.9991999991999994,0.0,0.13446417823433876,0.9992007968031873,0.9992000000000001
3,3,3,54.1,,54.1,9.410509009703837e-05,0.0002050083484108442,0.00028555336443695297,0.5287738837472183,0.5589340012492847,0.5409999999999999,0.043076760694384576,0.00011509534816680005,0.00028555336443695297,1.0,0.0,0.043076760694384576,1.0,1.0
4,4,4,55.5,,55.5,0.0001231378098023001,0.00032814615821314427,0.00042963079978688284,0.54260714671764,0.5732875534042039,0.5549999999999999,0.01596161341294646,0.00014407743534992988,0.00042963079978688284,1.0,0.0,0.01596161341294646,1.0,1.0
5,5,5,56.2,,56.2,0.00015178051332730787,0.00047992667154045214,0.000602336120601385,0.5495524968218097,0.5852593423504967,0.562,0.008885389217175544,0.00017270532081450213,0.000602336120601385,1.0,0.0,0.008885389217175544,1.0,1.0
6,6,6,55.9,,55.9,0.00018019322416508167,0.0006601198957055339,0.000803463450195363,0.5444079271493574,0.5818840447593854,0.5589999999999999,0.004501899529714137,0.000201127329593978,0.000803463450195363,1.0,0.0,0.004501899529714137,1.0,1.0
7,7,7,56.0,,56.0,0.0002090819156824913,0.0008692018113880251,0.0010334803381322384,0.5438287530517756,0.5788028649790172,0.5599999999999999,0.003950710850767791,0.0002300168879368754,0.0010334803381322384,1.0,0.0,0.003950710850767791,1.0,1.0
8,8,8,55.9,,55.9,0.00023781141256517312,0.0011070132239531982,0.001292256381966691,0.544108530736626,0.583682816883561,0.5589999999999999,0.0026832419447600842,0.0002587760438344526,0.001292256381966691,1.0,0.0,0.0026832419447600842,1.0,1.0
9,9,9,56.3,,56.3,0.00026675848123835865,0.0013737717051915568,0.0015794546603493896,0.5488224935827017,0.5846427102641296,0.563,0.002353521017357707,0.00028719827838269863,0.0015794546603493896,1.0,0.0,0.002353521017357707,1.0,1.0
