epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,55.5,,55.5,8.3056095382955e-06,8.3056095382955e-06,2.9425331211998742e-05,0.5576567998340773,0.5901532115597508,0.555,1.1852867662906648,2.9425331211998742e-05,2.9425331211998742e-05,0.8822703123067248,0.0,1.1852867662906648,0.8852741359844071,0.8808
1,1,1,59.8,,59.8,5.470948686142022e-05,6.301509639971572e-05,9.661471930504125e-05,0.5940246269894852,0.6236211638869215,0.5980000000000001,0.3891911432147026,6.718938809304251e-05,9.661471930504125e-05,0.9842447422110187,0.0,0.3891911432147026,0.9843631063463405,0.9842000000000001
2,2,2,60.0,,60.0,0.00010177576570337078,0.0001647908621030865,0.00021254873173101547,0.600499872214062,0.6234049192673623,0.6,0.15532762482762336,0.00011593401242597424,0.00021254873173101547,0.9972021738640547,0.0,0.15532762482762336,0.9972142700263594,0.9972
3,3,3,61.9,,61.9,0.00013361970638039436,0.00029841056848348087,0.0003608567619283983,0.6188673766656633,0.6388515867079125,0.619,0.04280609404668212,0.0001483080301973828,0.0003608567619283983,0.9997999997999998,0.0,0.04280609404668212,0.9998003992015967,0.9997999999999999
4,4,4,63.4,,63.4,0.00016536186291446841,0.00046377243139794925,0.0005409128741636827,0.632122366063722,0.6441111023776332,0.6340000000000001,0.015224107215180993,0.00018005611223528435,0.0005409128741636827,1.0,0.0,0.015224107215180993,1.0,1.0
5,5,5,63.1,,63.1,0.00019714295142853224,0.0006609153828264814,0.0007527567806784241,0.6289472865286205,0.6443569065215823,0.631,0.007309527392499149,0.0002118439065147414,0.0007527567806784241,1.0,0.0,0.007309527392499149,1.0,1.0
6,6,6,63.7,,63.7,0.00022897989596119679,0.0008898952787876782,0.000996414696146028,0.6351412720903193,0.6563012439546221,0.6369999999999999,0.003993528342107311,0.00024365791546760387,0.000996414696146028,1.0,0.0,0.003993528342107311,1.0,1.0
7,7,7,62.7,,62.7,0.00026093945058653246,0.0011508347293742107,0.0012719634431469615,0.6254647275950095,0.6431817212908042,0.6270000000000001,0.002771557302912697,0.0002755487470009337,0.0012719634431469615,1.0,0.0,0.002771557302912697,1.0,1.0
8,8,8,63.3,,63.3,0.00029270636715357653,0.001443541096527787,0.0015789817723361487,0.6308806920397216,0.6459541781159456,0.633,0.0021508517616894095,0.00030701832918918713,0.0015789817723361487,1.0,0.0,0.0021508517616894095,1.0,1.0
9,9,9,64.2,,64.2,0.000324263297770099,0.001767804394297886,0.001917913612088036,0.6378946483165795,0.6531067554281383,0.642,0.0017885824898257851,0.00033893183975188717,0.001917913612088036,1.0,0.0,0.0017885824898257851,1.0,1.0
10,10,10,64.1,,64.1,0.00035610743743443344,0.0021239118317323193,0.0022886844861550212,0.6387826414285432,0.6577716204181386,0.641,0.001321716283564456,0.0003707708740669855,0.0022886844861550212,1.0,0.0,0.001321716283564456,1.0,1.0
11,11,11,64.3,,64.3,0.00038807757196712093,0.0025119894036994403,0.0026914072947027113,0.6405472577522193,0.6523470844284684,0.643,0.0012756042036926375,0.00040272280854769,0.0026914072947027113,1.0,0.0,0.0012756042036926375,1.0,1.0
12,12,12,63.8,,63.8,0.0004199807569985453,0.0029319701606979856,0.003126014692745648,0.6349470474176834,0.6544474090623299,0.6380000000000001,0.0012308179662795737,0.00043460739804293693,0.003126014692745648,1.0,0.0,0.0012308179662795737,1.0,1.0
13,13,13,64.1,,64.1,0.0004519050029936622,0.0033838751636916476,0.0035925896139677323,0.6383184138298355,0.6552860504556636,0.641,0.0009671540567069315,0.00046657492122208433,0.0035925896139677323,1.0,0.0,0.0009671540567069315,1.0,1.0
14,14,14,65.1,,65.1,0.0004837778855902043,0.003867653049281852,0.004090990897839078,0.6479003227876287,0.6605361690062759,0.651,0.0009692056337371469,0.0004984012838713456,0.004090990897839078,1.0,0.0,0.0009692056337371469,1.0,1.0
15,15,15,64.3,,64.3,0.0005157131313406121,0.0043833661806224646,0.004621321341330955,0.6414643574373411,0.6627271084204988,0.643,0.0007808887690771371,0.0005303304434918764,0.004621321341330955,1.0,0.0,0.0007808887690771371,1.0,1.0
16,16,16,63.7,,63.7,0.0005477268672157356,0.0049310930478382005,0.005183682093049742,0.6351795178677578,0.6558592369780529,0.6369999999999999,0.0006944974593352526,0.0005623607517187871,0.005183682093049742,1.0,0.0,0.0006944974593352526,1.0,1.0
17,17,17,63.8,,63.8,0.0005796784639874418,0.005510771511825642,0.005778005176503831,0.6348231442411478,0.6525078806880718,0.638,0.0007418453431455418,0.0005943230834540888,0.005778005176503831,1.0,0.0,0.0007418453431455418,1.0,1.0
18,18,18,63.9,,63.9,0.0006117140725160198,0.006122485584341662,0.006404271032163955,0.6355763807633583,0.6549114146433492,0.639,0.0010084939916851,0.0006262658556601241,0.006404271032163955,1.0,0.0,0.0010084939916851,1.0,1.0
19,19,19,64.5,,64.5,0.0006438121352104202,0.006766297719552082,0.007062679510975869,0.6428783115990369,0.6597884838730236,0.6450000000000001,0.0005124941715621389,0.0006584084788119139,0.007062679510975869,1.0,0.0,0.0005124941715621389,1.0,1.0
20,20,20,63.6,,63.6,0.0006757745963926172,0.007442072315944699,0.007753062655292556,0.6336478694012897,0.653428188723652,0.6360000000000001,0.0005139799002790823,0.0006903831443166872,0.007753062655292556,1.0,0.0,0.0005139799002790823,1.0,1.0
21,21,21,64.4,,64.4,0.0007077918702716115,0.008149864186216311,0.008475451539342215,0.6412401186385119,0.6563042761047518,0.644,0.0005314516718499362,0.0007223888840496586,0.008475451539342215,1.0,0.0,0.0005314516718499362,1.0,1.0
22,22,22,64.7,,64.7,0.0007397602286439978,0.00888962441486031,0.009229822268583859,0.6451177310947616,0.6615577661950142,0.6469999999999999,0.0005080761256976984,0.0007543707292416434,0.009229822268583859,1.0,0.0,0.0005080761256976984,1.0,1.0
23,23,23,65.0,,65.0,0.0007717290795160564,0.009661353494376365,0.010016141832677643,0.6469440485701059,0.6634703901571454,0.6500000000000001,0.0006294313476246316,0.0007863195640937849,0.010016141832677643,1.0,0.0,0.0006294313476246316,1.0,1.0
24,24,24,64.7,,64.7,0.000803706347676055,0.01046505984205242,0.010834495675094605,0.644032321413502,0.6618155704219304,0.647,0.0004181717085884884,0.0008183538424169609,0.010834495675094605,1.0,0.0,0.0004181717085884884,1.0,1.0
25,25,25,64.6,,64.6,0.0008357093683655743,0.011300769210417994,0.011684821565277677,0.6429543537802168,0.6621525594719062,0.646,0.00040906120848376303,0.0008503258901830722,0.011684821565277677,1.0,0.0,0.00040906120848376303,1.0,1.0
26,26,26,64.1,,64.1,0.0008677418613544483,0.012168511071772442,0.012566798030777827,0.6392482111210727,0.658191582673374,0.641,0.0004508535326749552,0.0008819764655001502,0.012566798030777827,1.0,0.0,0.0004508535326749552,1.0,1.0
27,27,27,64.2,,64.2,0.000899385902767159,0.0130678969745396,0.013480709391901581,0.6394398251222914,0.6572028607914643,0.642,0.0004824791954888497,0.0009139113611237536,0.013480709391901581,1.0,0.0,0.0004824791954888497,1.0,1.0
28,28,28,63.6,,63.6,0.0009313521925522636,0.013999249167091865,0.014426676036518328,0.6340552940326472,0.6542046569263074,0.6360000000000001,0.00039976279440452346,0.0009459666446167473,0.014426676036518328,1.0,0.0,0.00039976279440452346,1.0,1.0
29,29,29,64.5,,64.5,0.0009635613532780555,0.01496281052036992,0.015404839387516677,0.6424541959270925,0.6613220481622595,0.6449999999999999,0.0003628562299127225,0.0009781633509983495,0.015404839387516677,1.0,0.0,0.0003628562299127225,1.0,1.0
30,30,30,64.1,,64.1,0.0009955092865985018,0.01595831980696842,0.016414987559693343,0.6390394311989134,0.6569865119887265,0.641,0.00032821852582856084,0.0010101481721766666,0.016414987559693343,1.0,0.0,0.00032821852582856084,1.0,1.0
31,31,31,64.4,,64.4,0.0010276041374338704,0.016985923944402292,0.017457141628162,0.6418680338246898,0.656912930183757,0.644,0.0003765135974390432,0.0010421540684686572,0.017457141628162,1.0,0.0,0.0003765135974390432,1.0,1.0
32,32,32,64.7,,64.7,0.0010596169069596064,0.0180455408513619,0.018531369122399364,0.6438373966488966,0.6612233418461602,0.647,0.0004122328864468727,0.0010742274942373623,0.018531369122399364,1.0,0.0,0.0004122328864468727,1.0,1.0
33,33,33,64.5,,64.5,0.0010916273728725629,0.019137168224234464,0.019637632356457477,0.6426318473806389,0.6608059157640003,0.6450000000000001,0.0004560409244732,0.0011062632340581118,0.019637632356457477,1.0,0.0,0.0004560409244732,1.0,1.0
