epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,55.5,,55.5,8.57772186028983e-06,8.57772186028983e-06,2.9137328982421965e-05,0.5576567998340773,0.5901532115597508,0.555,1.1852867662906648,2.9137328982421965e-05,2.9137328982421965e-05,0.8822703123067248,0.0,1.1852867662906648,0.8852741359844071,0.8808
1,1,1,59.8,,59.8,4.075318262551438e-05,4.933090448580421e-05,9.396140927061213e-05,0.5940246269894852,0.6236211638869215,0.5980000000000001,0.3891911432147026,6.482408028819016e-05,9.396140927061213e-05,0.9842447422110187,0.0,0.3891911432147026,0.9843631063463405,0.9842000000000001
2,2,2,60.0,,60.0,7.266353750272895e-05,0.00012199444198853316,0.00019066488409432423,0.600499872214062,0.6234049192673623,0.6,0.15532762482762336,9.670347482371211e-05,0.00019066488409432423,0.9972021738640547,0.0,0.15532762482762336,0.9972142700263594,0.9972
3,3,3,61.9,,61.9,0.00010492329487463609,0.00022691773686316926,0.00031962379546755326,0.6188673766656633,0.6388515867079125,0.619,0.04280609404668212,0.00012895891137322906,0.00031962379546755326,0.9997999997999998,0.0,0.04280609404668212,0.9998003992015967,0.9997999999999999
4,4,4,63.4,,63.4,0.0001367933244999277,0.00036371106136309696,0.00048045962174282945,0.632122366063722,0.6441111023776332,0.6340000000000001,0.015224107215180993,0.00016083582627527616,0.00048045962174282945,1.0,0.0,0.015224107215180993,1.0,1.0
5,5,5,63.1,,63.1,0.0001690283064448657,0.0005327393678079626,0.0006735258784491421,0.6289472865286205,0.6443569065215823,0.631,0.007309527392499149,0.00019306625670631263,0.0006735258784491421,1.0,0.0,0.007309527392499149,1.0,1.0
6,6,6,63.7,,63.7,0.00020096228087755223,0.0007337016486855148,0.0008985303309095219,0.6351412720903193,0.6563012439546221,0.6369999999999999,0.003993528342107311,0.00022500445246037982,0.0008985303309095219,1.0,0.0,0.003993528342107311,1.0,1.0
7,7,7,62.7,,62.7,0.00023334787428884468,0.0009670495229743596,0.0011557940655921297,0.6254647275950095,0.6431817212908042,0.6270000000000001,0.002771557302912697,0.0002572637346826079,0.0011557940655921297,1.0,0.0,0.002771557302912697,1.0,1.0
8,8,8,63.3,,63.3,0.00026562892180113375,0.0012326784447754934,0.0014454685911267492,0.6308806920397216,0.6459541781159456,0.633,0.0021508517616894095,0.0002896745255346194,0.0014454685911267492,1.0,0.0,0.0021508517616894095,1.0,1.0
9,9,9,64.2,,64.2,0.0002976490748276827,0.0015303275196031762,0.0017671189178854396,0.6378946483165795,0.6531067554281383,0.642,0.0017885824898257851,0.0003216503267586904,0.0017671189178854396,1.0,0.0,0.0017885824898257851,1.0,1.0
10,10,10,64.1,,64.1,0.00032995701276301143,0.0018602845323661876,0.0021210677937057816,0.6387826414285432,0.6577716204181386,0.641,0.001321716283564456,0.00035394887582034223,0.0021210677937057816,1.0,0.0,0.001321716283564456,1.0,1.0
11,11,11,64.3,,64.3,0.00036244436847204434,0.002222728900838232,0.0025075373973914715,0.6405472577522193,0.6523470844284684,0.643,0.0012756042036926375,0.00038646960368569005,0.0025075373973914715,1.0,0.0,0.0012756042036926375,1.0,1.0
12,12,12,63.8,,63.8,0.0003943987024750682,0.0026171276033133003,0.0029259428687388755,0.6349470474176834,0.6544474090623299,0.6380000000000001,0.0012308179662795737,0.0004184054713474039,0.0029259428687388755,1.0,0.0,0.0012308179662795737,1.0,1.0
13,13,13,64.1,,64.1,0.00042679815690254433,0.0030439257602158445,0.0033767482344979264,0.6383184138298355,0.6552860504556636,0.641,0.0009671540567069315,0.000450805365759051,0.0033767482344979264,1.0,0.0,0.0009671540567069315,1.0,1.0
14,14,14,65.1,,65.1,0.00045925806316626436,0.003503183823382109,0.0038596023795648424,0.6479003227876287,0.6605361690062759,0.651,0.0009692056337371469,0.00048285414506691617,0.0038596023795648424,1.0,0.0,0.0009692056337371469,1.0,1.0
15,15,15,64.3,,64.3,0.0004913272803131276,0.0039945111036952365,0.004374882526200322,0.6414643574373411,0.6627271084204988,0.643,0.0007808887690771371,0.0005152801466354798,0.004374882526200322,1.0,0.0,0.0007808887690771371,1.0,1.0
16,16,16,63.7,,63.7,0.0005236558833663261,0.004518166987061562,0.004922547531730568,0.6351795178677578,0.6558592369780529,0.6369999999999999,0.0006944974593352526,0.0005476650055302457,0.004922547531730568,1.0,0.0,0.0006944974593352526,1.0,1.0
17,17,17,63.8,,63.8,0.0005556548664970618,0.005073821853558624,0.00550218211985666,0.6348231442411478,0.6525078806880718,0.638,0.0007418453431455418,0.0005796345881260923,0.00550218211985666,1.0,0.0,0.0007418453431455418,1.0,1.0
18,18,18,63.9,,63.9,0.0005880032437488522,0.005661825097307476,0.006114217214947627,0.6355763807633583,0.6549114146433492,0.639,0.0010084939916851,0.0006120350950909675,0.006114217214947627,1.0,0.0,0.0010084939916851,1.0,1.0
19,19,19,64.5,,64.5,0.0006203846545045746,0.0062822097518120505,0.006758214133123319,0.6428783115990369,0.6597884838730236,0.6450000000000001,0.0005124941715621389,0.0006439969181756919,0.006758214133123319,1.0,0.0,0.0005124941715621389,1.0,1.0
20,20,20,63.6,,63.6,0.0006523360190050318,0.006934545770817082,0.007434534541718854,0.6336478694012897,0.653428188723652,0.6360000000000001,0.0005139799002790823,0.0006763204085955353,0.007434534541718854,1.0,0.0,0.0005139799002790823,1.0,1.0
21,21,21,64.4,,64.4,0.0006847434463032719,0.007619289217120354,0.008143260925270575,0.6412401186385119,0.6563042761047518,0.644,0.0005314516718499362,0.00070872638355172,0.008143260925270575,1.0,0.0,0.0005314516718499362,1.0,1.0
22,22,22,64.7,,64.7,0.000716770722491502,0.008336059939611857,0.008883998495595636,0.6451177310947616,0.6615577661950142,0.6469999999999999,0.0005080761256976984,0.0007407375703250608,0.008883998495595636,1.0,0.0,0.0005080761256976984,1.0,1.0
23,23,23,65.0,,65.0,0.0007491617625748318,0.009085221702186688,0.009657146860504685,0.6469440485701059,0.6634703901571454,0.6500000000000001,0.0006294313476246316,0.0007731483649090491,0.009657146860504685,1.0,0.0,0.0006294313476246316,1.0,1.0
24,24,24,64.7,,64.7,0.0007966355730634065,0.009881857275250094,0.01047724385438821,0.644032321413502,0.6618155704219304,0.647,0.0004181717085884884,0.0008200969938835244,0.01047724385438821,1.0,0.0,0.0004181717085884884,1.0,1.0
25,25,25,64.6,,64.6,0.0008299770752321077,0.010711834350482202,0.011345148026139593,0.6429543537802168,0.6621525594719062,0.646,0.00040906120848376303,0.0008679041717513825,0.011345148026139593,1.0,0.0,0.00040906120848376303,1.0,1.0
26,26,26,64.1,,64.1,0.0008624236044449443,0.011574257954927147,0.012246126889314597,0.6392482111210727,0.658191582673374,0.641,0.0004508535326749552,0.0009009788631750043,0.012246126889314597,1.0,0.0,0.0004508535326749552,1.0,1.0
27,27,27,64.2,,64.2,0.0008944140301103874,0.012468671985037535,0.013179126379413696,0.6394398251222914,0.6572028607914643,0.642,0.0004824791954888497,0.0009329994900990981,0.013179126379413696,1.0,0.0,0.0004824791954888497,1.0,1.0
28,28,28,63.6,,63.6,0.0009268906123390341,0.013395562597376568,0.01414454306215802,0.6340552940326472,0.6542046569263074,0.6360000000000001,0.00039976279440452346,0.0009654166827443243,0.01414454306215802,1.0,0.0,0.00039976279440452346,1.0,1.0
29,29,29,64.5,,64.5,0.0009588854707623205,0.01435444806813889,0.015141957938788808,0.6424541959270925,0.6613220481622595,0.6449999999999999,0.0003628562299127225,0.0009974148766307873,0.015141957938788808,1.0,0.0,0.0003628562299127225,1.0,1.0
30,30,30,64.1,,64.1,0.0009913076693467352,0.015345755737485624,0.01617182694323034,0.6390394311989134,0.6569865119887265,0.641,0.00032821852582856084,0.0010298690044415332,0.01617182694323034,1.0,0.0,0.00032821852582856084,1.0,1.0
31,31,31,64.4,,64.4,0.0010232966410345392,0.01636905237852016,0.017233719189532534,0.6418680338246898,0.656912930183757,0.644,0.0003765135974390432,0.0010618922463021933,0.017233719189532534,1.0,0.0,0.0003765135974390432,1.0,1.0
32,32,32,64.7,,64.7,0.0010557750993553934,0.017424827477875555,0.01832801297372131,0.6438373966488966,0.6612233418461602,0.647,0.0004122328864468727,0.0010942937841887763,0.01832801297372131,1.0,0.0,0.0004122328864468727,1.0,1.0
33,33,33,64.5,,64.5,0.0010882254457708687,0.018513052923646425,0.019454790003316173,0.6426318473806389,0.6608059157640003,0.6450000000000001,0.0004560409244732,0.001126777029594865,0.019454790003316173,1.0,0.0,0.0004560409244732,1.0,1.0
34,34,34,65.0,,65.0,0.0011207935326281325,0.019633846456274556,0.020613763815579507,0.6482371022736653,0.6658315734674665,0.65,0.0003226227163395379,0.0011589738122633325,0.020613763815579507,1.0,0.0,0.0003226227163395379,1.0,1.0
35,35,35,63.6,,63.6,0.001152805528141792,0.020786651984416347,0.021805150944151194,0.6329257680687699,0.652566689455335,0.636,0.00031439083904842845,0.0011913871285716882,0.021805150944151194,1.0,0.0,0.00031439083904842845,1.0,1.0
36,36,36,64.9,,64.9,0.0011852621929271524,0.0219719141773435,0.023028974836541555,0.6475939705824746,0.6668444760228402,0.6490000000000001,0.0003447234696068335,0.001223823892390361,0.023028974836541555,1.0,0.0,0.0003447234696068335,1.0,1.0
37,37,37,63.7,,63.7,0.0012172392109952154,0.023189153388338716,0.024284769342692997,0.6336013984509947,0.6525646431264889,0.637,0.00036352205133880486,0.0012557945061514413,0.024284769342692997,1.0,0.0,0.00036352205133880486,1.0,1.0
38,38,38,64.5,,64.5,0.0012495979485769814,0.0244387513369157,0.025572938653164987,0.6429689073674684,0.6609165549052902,0.6449999999999999,0.0004558148684736807,0.0012881693104719904,0.025572938653164987,1.0,0.0,0.0004558148684736807,1.0,1.0
39,39,39,64.6,,64.6,0.0012817571274210064,0.025720508464336704,0.026893238027097918,0.6446238693814302,0.6622398688875494,0.646,0.00031926085139275526,0.001320299373932929,0.026893238027097918,1.0,0.0,0.00031926085139275526,1.0,1.0
40,40,40,64.3,,64.3,0.001314066325985135,0.027034574790321838,0.028245825800415108,0.6406709809733109,0.6596162908723253,0.643,0.00034250357130076735,0.0013525877733171902,0.028245825800415108,1.0,0.0,0.00034250357130076735,1.0,1.0
41,41,41,64.4,,64.4,0.001346540932378084,0.028381115722699923,0.02963091863829427,0.63987665732684,0.6575428654780857,0.644,0.00036309162169345655,0.0013850928378791615,0.02963091863829427,1.0,0.0,0.00036309162169345655,1.0,1.0
42,42,42,64.0,,64.0,0.0013785729291531084,0.02975968865185303,0.031048049659703668,0.6372033336888212,0.6557989394052008,0.64,0.0003655315056676045,0.0014171310214093973,0.031048049659703668,1.0,0.0,0.0003655315056676045,1.0,1.0
43,43,43,65.0,,65.0,0.001411027832195532,0.031170716484048563,0.03249761897116529,0.6469412851013192,0.6607087199996821,0.65,0.0003709579716087319,0.0014495693114616216,0.03249761897116529,1.0,0.0,0.0003709579716087319,1.0,1.0
44,44,44,64.3,,64.3,0.0014430461463876066,0.032613762630436166,0.03397921310088878,0.6399665067616042,0.6552296827443015,0.643,0.0003224947584385518,0.0014815941297234827,0.03397921310088878,1.0,0.0,0.0003224947584385518,1.0,1.0
45,45,45,64.8,,64.8,0.0014755574892300427,0.03408932011966621,0.03549332594677621,0.6445590812354031,0.6610412527698035,0.6479999999999999,0.0003373940518940799,0.001514112845887433,0.03549332594677621,1.0,0.0,0.0003373940518940799,1.0,1.0
46,46,46,64.1,,64.1,0.0015075983833645426,0.03559691850303075,0.037039486775725716,0.6388383486623016,0.656780879616036,0.641,0.0003338018032081891,0.001546160828949502,0.037039486775725716,1.0,0.0,0.0003338018032081891,1.0,1.0
47,47,47,64.2,,64.2,0.0015399918824226169,0.037136910385453366,0.03861801567253247,0.6395308831759859,0.6573696508880755,0.642,0.0015555445294012315,0.0015785288968067546,0.03861801567253247,1.0,0.0,0.0015555445294012315,1.0,1.0
48,48,48,65.1,,65.1,0.0015720660624290212,0.03870897644788239,0.04022862062466762,0.6500342908040325,0.6636247975780798,0.651,0.0004127425381739158,0.0016106049521351512,0.04022862062466762,1.0,0.0,0.0004127425381739158,1.0,1.0
49,49,49,65.0,,65.0,0.001604538794088691,0.04031351524197108,0.041871666636399574,0.6487047970761968,0.6658813455246804,0.65,0.0003503396757878363,0.0016430460117319483,0.041871666636399574,1.0,0.0,0.0003503396757878363,1.0,1.0
50,50,50,65.4,,65.4,0.001636990409224322,0.0419505056511954,0.04354681178588236,0.6517644251632294,0.6681939762412478,0.6539999999999999,0.0004210140825307462,0.0016751451494827852,0.04354681178588236,1.0,0.0,0.0004210140825307462,1.0,1.0
51,51,51,64.5,,64.5,0.001668983281176616,0.04361948893237202,0.045254351019320495,0.6425131378749376,0.657866796403973,0.6449999999999999,0.0003002003490109928,0.0017075392334381357,0.045254351019320495,1.0,0.0,0.0003002003490109928,1.0,1.0
52,52,52,65.5,,65.5,0.001701413601156729,0.045320902533528745,0.04699431493385786,0.6539138689628665,0.6698823159931903,0.655,0.0003425818584219087,0.0017399639145373633,0.04699431493385786,1.0,0.0,0.0003425818584219087,1.0,1.0
53,53,53,65.2,,65.2,0.0017334792352333864,0.04705438176876213,0.048766315105198015,0.650960745941495,0.665942639104754,0.6519999999999999,0.0003482818785414565,0.001772000171340151,0.048766315105198015,1.0,0.0,0.0003482818785414565,1.0,1.0
54,54,54,65.1,,65.1,0.0017659473519732248,0.048820329120735355,0.050570790462865264,0.6491252153353941,0.6652909117708085,0.651,0.0003345741170051042,0.0018044753576672522,0.050570790462865264,1.0,0.0,0.0003345741170051042,1.0,1.0
55,55,55,64.3,,64.3,0.0017983991022618101,0.050618728222997164,0.05240737086510339,0.6412852518784543,0.6619051547483407,0.643,0.000489596994157182,0.0018365804022381286,0.05240737086510339,1.0,0.0,0.000489596994157182,1.0,1.0
56,56,56,64.2,,64.2,0.0018305135191610251,0.05244924174215819,0.05427639014547699,0.6394277468274726,0.6552688011911105,0.642,0.0003522644386976026,0.0018690192803735958,0.05427639014547699,1.0,0.0,0.0003522644386976026,1.0,1.0
57,57,57,64.6,,64.6,0.0018629707254238072,0.054312212467582,0.0561778858023493,0.6439443497725653,0.6629948139772369,0.646,0.0003412784524698509,0.0019014956568723111,0.0561778858023493,1.0,0.0,0.0003412784524698509,1.0,1.0
58,58,58,64.7,,64.7,0.0018950106093033117,0.05620722307688531,0.05811144092530167,0.645444708677213,0.6647031684064031,0.6469999999999999,0.00038950727248447946,0.0019335551229523686,0.05811144092530167,1.0,0.0,0.00038950727248447946,1.0,1.0
59,59,59,65.1,,65.1,0.0019274241613234844,0.0581346472382088,0.06007737666606083,0.6488315659510222,0.666460483519981,0.651,0.0003849380598694552,0.0019659357407591635,0.06007737666606083,1.0,0.0,0.0003849380598694552,1.0,1.0
60,60,60,64.4,,64.4,0.001959570392768114,0.060094217630976915,0.06207545135988298,0.6405332967152116,0.6596272789073098,0.644,0.0002630280316225253,0.001998074693822148,0.06207545135988298,1.0,0.0,0.0002630280316225253,1.0,1.0
61,61,61,64.1,,64.1,0.0019920791585656007,0.062086296789542514,0.06410605274706303,0.6389613732692745,0.6554281066605461,0.641,0.00034851113159675153,0.00203060138718005,0.06410605274706303,1.0,0.0,0.00034851113159675153,1.0,1.0
62,62,62,64.5,,64.5,0.002024561307805709,0.06411085809734822,0.06616915348833335,0.6413465604965226,0.6576356158667542,0.6449999999999999,0.0003502880790620111,0.002063100741270328,0.06616915348833335,1.0,0.0,0.0003502880790620111,1.0,1.0
63,63,63,64.2,,64.2,0.002056681586504586,0.0661675396838528,0.06826437806539247,0.6402994643298476,0.6592801258042944,0.642,0.0003198533595423214,0.002095224577059117,0.06826437806539247,1.0,0.0,0.0003198533595423214,1.0,1.0
64,64,64,65.6,,65.6,0.0020890735371812052,0.068256613221034,0.07039197645102896,0.6545596422057616,0.6725144581651736,0.656,0.0003280960096162744,0.002127598385636494,0.07039197645102896,1.0,0.0,0.0003280960096162744,1.0,1.0
65,65,65,64.3,,64.3,0.002121580754516219,0.07037819397555023,0.07255209114802051,0.6412351225994869,0.6596268790505939,0.643,0.00031735241718706676,0.0021601146969915564,0.07255209114802051,1.0,0.0,0.00031735241718706676,1.0,1.0
66,66,66,64.4,,64.4,0.002153581661934503,0.07253177563748474,0.07474423009265023,0.6407879260308831,0.6569554616548507,0.6439999999999999,0.00033582021787879055,0.0021921389446297192,0.07474423009265023,1.0,0.0,0.00033582021787879055,1.0,1.0
