epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,56.4,,56.4,8.723997029831284e-06,8.723997029831284e-06,3.271201774864397e-05,0.5634750087849891,0.609512746506206,0.5640000000000001,1.2299931913614273,3.271201774864397e-05,3.271201774864397e-05,0.8756512119884933,0.0,1.2299931913614273,0.8766615579747186,0.8754
1,1,1,56.4,,56.4,4.063309348644617e-05,4.935709051627746e-05,0.0001011202267882008,0.5531770811849486,0.5848820325697228,0.564,0.4184311479330063,6.840820903955682e-05,0.0001011202267882008,0.9756475879121556,0.0,0.4184311479330063,0.9757551715411426,0.9756
2,2,2,60.4,,60.4,7.258928010195224e-05,0.00012194637061822971,0.0002014413384113142,0.5951294439330154,0.6281547691116482,0.6039999999999999,0.1633908674120903,0.0001003211116231134,0.0002014413384113142,0.9960043369605293,0.0,0.1633908674120903,0.9960224264514345,0.9960000000000001
3,3,3,59.5,,59.5,0.00010464543022662956,0.00022659180084485929,0.0003337992903810828,0.5846187709658405,0.6288651973391666,0.5950000000000001,0.05468186168000102,0.0001323579519697686,0.0003337992903810828,0.9993999995999996,0.0,0.05468186168000102,0.9994007984031935,0.9994
4,4,4,61.3,,61.3,0.00013665682434677967,0.00036324862519163895,0.0004982216218525604,0.6043763233873499,0.6426795538183429,0.6130000000000001,0.025226035760715602,0.00016442233147147758,0.0004982216218525604,0.9997999997999998,0.0,0.025226035760715602,0.9998003992015967,0.9997999999999999
5,5,5,59.2,,59.2,0.000169121321052354,0.000532369946243993,0.0006950680581739786,0.5774895281667931,0.6166948663685784,0.592,0.01160620292648673,0.0001968464363214182,0.0006950680581739786,1.0,0.0,0.01160620292648673,1.0,1.0
6,6,6,60.4,,60.4,0.00020107671014933136,0.0007334466563933244,0.0009238717449452696,0.5905185956121388,0.6453388176060825,0.6040000000000001,0.00966062736697495,0.00022880368677129096,0.0009238717449452696,1.0,0.0,0.00966062736697495,1.0,1.0
7,7,7,61.3,,61.3,0.00023307375739269507,0.0009665204137860195,0.0011846893816585778,0.5956833084978705,0.64350429168944,0.6129999999999999,0.011497379245702178,0.0002608176367133083,0.0011846893816585778,1.0,0.0,0.011497379245702178,1.0,1.0
8,8,8,62.3,,62.3,0.00026513464551851086,0.0012316550593045304,0.001477584369648373,0.613016013065171,0.6543197919575934,0.623,0.007098719500936568,0.00029289498798979515,0.001477584369648373,1.0,0.0,0.007098719500936568,1.0,1.0
9,9,9,60.9,,60.9,0.00029723561579156837,0.0015288906750960988,0.001802494911974158,0.5999254758280294,0.6504908966812596,0.6090000000000001,0.006841447169426829,0.00032491054232578495,0.001802494911974158,1.0,0.0,0.006841447169426829,1.0,1.0
10,10,10,61.2,,61.2,0.0003297652360012297,0.0018586559110973285,0.0021599572146250904,0.5984408615240364,0.6497219922578639,0.612,0.003618151496630162,0.00035746230265093216,0.0021599572146250904,1.0,0.0,0.003618151496630162,1.0,1.0
11,11,11,60.6,,60.6,0.0003618239842799753,0.0022204798953773036,0.0025495057451979187,0.5908464902460235,0.6433343630107986,0.6060000000000001,0.005857984797330573,0.0003895485305728282,0.0025495057451979187,1.0,0.0,0.005857984797330573,1.0,1.0
12,12,12,62.0,,62.0,0.0003939292729758837,0.002614409168353187,0.002971162048190666,0.6052292679881294,0.650995393531611,0.6199999999999999,0.008165581303182989,0.0004216563029927477,0.002971162048190666,1.0,0.0,0.008165581303182989,1.0,1.0
13,13,13,61.7,,61.7,0.0004263308319062925,0.0030407400002594796,0.0034252022840476687,0.6021285729892764,0.645245563140017,0.617,0.004160565236816183,0.00045404023585700267,0.0034252022840476687,1.0,0.0,0.004160565236816183,1.0,1.0
14,14,14,60.9,,60.9,0.00045844573966593324,0.0034991857399254127,0.0039113138154151334,0.5935129411589687,0.6432768618649685,0.609,0.0015720911382231862,0.0004861115313674651,0.0039113138154151334,1.0,0.0,0.0015720911382231862,1.0,1.0
15,15,15,62.2,,62.2,0.0004905455674478459,0.003989731307373259,0.004429586832383401,0.610227226628123,0.6584137192812947,0.622,0.0015576893114484847,0.0005182730169682677,0.004429586832383401,1.0,0.0,0.0015576893114484847,1.0,1.0
16,16,16,62.1,,62.1,0.0005231009544789605,0.004512832261852219,0.004980318795408697,0.6082941889544162,0.661393875048999,0.6209999999999999,0.00258338653948158,0.0005507319630252961,0.004980318795408697,1.0,0.0,0.00258338653948158,1.0,1.0
17,17,17,61.8,,61.8,0.0005552427742342099,0.005068075036086429,0.005563245515661873,0.6063903989367523,0.6543672158685702,0.618,0.0017100480297813192,0.0005829267202531758,0.005563245515661873,1.0,0.0,0.0017100480297813192,1.0,1.0
18,18,18,62.1,,62.1,0.0005873838008587337,0.005655458836945163,0.006178335501960957,0.6077925033171668,0.6555922146931757,0.621,0.001711680309381336,0.0006150899862990837,0.006178335501960957,1.0,0.0,0.001711680309381336,1.0,1.0
19,19,19,62.2,,62.2,0.0006198687487266255,0.006275327585671789,0.006825561764364055,0.6123906275928264,0.660285197315933,0.6220000000000001,0.0014853022250463255,0.0006472262624030971,0.006825561764364055,1.0,0.0,0.0014853022250463255,1.0,1.0
