epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,51.0,,51.0,8.333057817065603e-06,8.333057817065603e-06,2.4751953958808134e-05,0.5047080946601291,0.5352564987260962,0.51,1.266651800274849,2.4751953958808134e-05,2.4751953958808134e-05,0.8757873388240943,0.0,1.266651800274849,0.8765175675323673,0.8756
1,1,1,52.0,,52.0,3.7114315484173844e-05,4.544737330123945e-05,8.15992094987624e-05,0.5134986709471426,0.5458972361311167,0.5199999999999999,0.4243962988257408,5.684725553995426e-05,8.15992094987624e-05,0.9756695840909956,0.0,0.4243962988257408,0.9758498819518147,0.9756
2,2,2,54.8,,54.8,6.623574386077466e-05,0.00011168311716201411,0.00016758299845482354,0.5369622823216252,0.582371571554921,0.5479999999999999,0.13446417823433876,8.598378895606112e-05,0.00016758299845482354,0.9991999991999994,0.0,0.13446417823433876,0.9992007968031873,0.9992000000000001
3,3,3,54.1,,54.1,9.579371449536108e-05,0.00020747683165737519,0.0002827154255337989,0.5287738837472183,0.5589340012492847,0.5409999999999999,0.043076760694384576,0.00011513242707897537,0.0002827154255337989,1.0,0.0,0.043076760694384576,1.0,1.0
4,4,4,55.5,,55.5,0.00012441253668816942,0.00033188936834554464,0.0004269010437610097,0.54260714671764,0.5732875534042039,0.5549999999999999,0.01596161341294646,0.0001441856182272108,0.0004269010437610097,1.0,0.0,0.01596161341294646,1.0,1.0
5,5,5,56.2,,56.2,0.00015332799625554063,0.00048521736460108524,0.0005999850200018817,0.5495524968218097,0.5852593423504967,0.562,0.008885389217175544,0.00017308397624087198,0.0005999850200018817,1.0,0.0,0.008885389217175544,1.0,1.0
6,6,6,55.9,,55.9,0.00018253348418259722,0.0006677508487836825,0.0008022805797451276,0.5444079271493574,0.5818840447593854,0.5589999999999999,0.004501899529714137,0.00020229555974324585,0.0008022805797451276,1.0,0.0,0.004501899529714137,1.0,1.0
7,7,7,56.0,,56.0,0.00021209678124395765,0.0008798476300276401,0.0010338161337938663,0.5438287530517756,0.5788028649790172,0.5599999999999999,0.003950710850767791,0.0002315355540487387,0.0010338161337938663,1.0,0.0,0.003950710850767791,1.0,1.0
8,8,8,55.9,,55.9,0.00024073042527467047,0.0011205780553023106,0.001294311839130534,0.544108530736626,0.583682816883561,0.5589999999999999,0.0026832419447600842,0.0002604957053366677,0.001294311839130534,1.0,0.0,0.0026832419447600842,1.0,1.0
9,9,9,56.3,,56.3,0.0002697221678664882,0.0013903002231687987,0.001583774745448387,0.5488224935827017,0.5846427102641296,0.563,0.002353521017357707,0.000289462906317853,0.001583774745448387,1.0,0.0,0.002353521017357707,1.0,1.0
10,10,10,56.4,,56.4,0.0002991364919457294,0.001689436715114528,0.0019025929915012436,0.5480042637886984,0.5869461637917588,0.564,0.0020992409845348448,0.0003188182460528565,0.0019025929915012436,1.0,0.0,0.0020992409845348448,1.0,1.0
