epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,55.5,,55.5,8.490146121272373e-06,8.490146121272373e-06,2.9517006681990765e-05,0.5576567998340773,0.5901532115597508,0.555,1.1852867662906648,2.9517006681990765e-05,2.9517006681990765e-05,0.8822703123067248,0.0,1.1852867662906648,0.8852741359844071,0.8808
1,1,1,59.8,,59.8,4.020437403131803e-05,4.8694520152590404e-05,9.421492548212018e-05,0.5940246269894852,0.6236211638869215,0.5980000000000001,0.3891911432147026,6.469791880012941e-05,9.421492548212018e-05,0.9842447422110187,0.0,0.3891911432147026,0.9843631063463405,0.9842000000000001
2,2,2,60.0,,60.0,7.227928163118116e-05,0.00012097380178377156,0.00019096615596910922,0.600499872214062,0.6234049192673623,0.6,0.15532762482762336,9.675123048698904e-05,0.00019096615596910922,0.9972021738640547,0.0,0.15532762482762336,0.9972142700263594,0.9972
3,3,3,61.9,,61.9,0.00010439141514468969,0.00022536521692846125,0.00031979140893229074,0.6188673766656633,0.6388515867079125,0.619,0.04280609404668212,0.00012882525296318154,0.00031979140893229074,0.9997999997999998,0.0,0.04280609404668212,0.9998003992015967,0.9997999999999999
4,4,4,63.4,,63.4,0.00013670661145122868,0.0003620718283796899,0.0004808983363912664,0.632122366063722,0.6441111023776332,0.6340000000000001,0.015224107215180993,0.00016110692745897567,0.0004808983363912664,1.0,0.0,0.015224107215180993,1.0,1.0
5,5,5,63.1,,63.1,0.00016898829379436299,0.0005310601221740529,0.0006742645811185133,0.6289472865286205,0.6443569065215823,0.631,0.007309527392499149,0.0001933662447272469,0.0006742645811185133,1.0,0.0,0.007309527392499149,1.0,1.0
6,6,6,63.7,,63.7,0.0002017041858420602,0.0007327643080161131,0.0009000245338820856,0.6351412720903193,0.6563012439546221,0.6369999999999999,0.003993528342107311,0.00022575995276357235,0.0009000245338820856,1.0,0.0,0.003993528342107311,1.0,1.0
7,7,7,62.7,,62.7,0.00023404318303355855,0.0009668074910496716,0.001158478703890138,0.6254647275950095,0.6431817212908042,0.6270000000000001,0.002771557302912697,0.00025845417000805226,0.001158478703890138,1.0,0.0,0.002771557302912697,1.0,1.0
8,8,8,63.3,,63.3,0.0002664049530011561,0.0012332124440508278,0.0014492734220031879,0.6308806920397216,0.6459541781159456,0.633,0.0021508517616894095,0.0002907947181130499,0.0014492734220031879,1.0,0.0,0.0021508517616894095,1.0,1.0
9,9,9,64.2,,64.2,0.0002988256171973627,0.0015320380612481904,0.0017724937601637735,0.6378946483165795,0.6531067554281383,0.642,0.0017885824898257851,0.0003232203381605856,0.0017724937601637735,1.0,0.0,0.0017885824898257851,1.0,1.0
10,10,10,64.1,,64.1,0.00033154060358030934,0.0018635786648284998,0.002128019833703365,0.6387826414285432,0.6577716204181386,0.641,0.001321716283564456,0.0003555260735395915,0.002128019833703365,1.0,0.0,0.001321716283564456,1.0,1.0
11,11,11,64.3,,64.3,0.0003639598380320552,0.002227538502860555,0.002516350951383249,0.6405472577522193,0.6523470844284684,0.643,0.0012756042036926375,0.00038833111767988407,0.002516350951383249,1.0,0.0,0.0012756042036926375,1.0,1.0
12,12,12,63.8,,63.8,0.0003963326260220075,0.0026238711288825625,0.0029370849158660184,0.6349470474176834,0.6544474090623299,0.6380000000000001,0.0012308179662795737,0.0004207339644827691,0.0029370849158660184,1.0,0.0,0.0012308179662795737,1.0,1.0
13,13,13,64.1,,64.1,0.00042812174814319963,0.0030519928770257622,0.003389638880444354,0.6383184138298355,0.6552860504556636,0.641,0.0009671540567069315,0.00045255396457833584,0.003389638880444354,1.0,0.0,0.0009671540567069315,1.0,1.0
14,14,14,65.1,,65.1,0.000460406500336079,0.0035123993773618412,0.00387448040731934,0.6479003227876287,0.6605361690062759,0.651,0.0009692056337371469,0.00048484152687498615,0.00387448040731934,1.0,0.0,0.0009692056337371469,1.0,1.0
15,15,15,64.3,,64.3,0.0004922097281805581,0.0040046091055424,0.004391145750072686,0.6414643574373411,0.6627271084204988,0.643,0.0007808887690771371,0.0005166653427533463,0.004391145750072686,1.0,0.0,0.0007808887690771371,1.0,1.0
16,16,16,63.7,,63.7,0.0005243492174214,0.004528958322963799,0.004939940871335398,0.6351795178677578,0.6558592369780529,0.6369999999999999,0.0006944974593352526,0.0005487951212627118,0.004939940871335398,1.0,0.0,0.0006944974593352526,1.0,1.0
