epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,51.0,,51.0,8.45908231764516e-06,8.45908231764516e-06,2.7144789379307613e-05,0.5047080946601291,0.5352564987260962,0.51,1.266651800274849,2.7144789379307613e-05,2.7144789379307613e-05,0.8757873388240943,0.0,1.266651800274849,0.8765175675323673,0.8756
1,1,1,52.0,,52.0,3.764325903543854e-05,4.61023413530837e-05,8.69048659150368e-05,0.5134986709471426,0.5458972361311167,0.5199999999999999,0.4243962988257408,5.976007653572918e-05,8.69048659150368e-05,0.9756695840909956,0.0,0.4243962988257408,0.9758498819518147,0.9756
2,2,2,54.8,,54.8,6.70389643951318e-05,0.0001131413057482155,0.0001760002796947868,0.5369622823216252,0.582371571554921,0.5479999999999999,0.13446417823433876,8.909541377975e-05,0.0001760002796947868,0.9991999991999994,0.0,0.13446417823433876,0.9992007968031873,0.9992000000000001
3,3,3,54.1,,54.1,9.663587419663583e-05,0.00020977717994485133,0.00029473915589229666,0.5287738837472183,0.5589340012492847,0.5409999999999999,0.043076760694384576,0.00011873887619750985,0.00029473915589229666,1.0,0.0,0.043076760694384576,1.0,1.0
4,4,4,55.5,,55.5,0.00012613595560449835,0.0003359131355493497,0.0004430080220612656,0.54260714671764,0.5732875534042039,0.5549999999999999,0.01596161341294646,0.00014826886616896894,0.0004430080220612656,1.0,0.0,0.01596161341294646,1.0,1.0
5,5,5,56.2,,56.2,0.00015532956815968423,0.000491242703709034,0.0006204506441041034,0.5495524968218097,0.5852593423504967,0.562,0.008885389217175544,0.00017744262204283774,0.0006204506441041034,1.0,0.0,0.008885389217175544,1.0,1.0
6,6,6,55.9,,55.9,0.00018453722926048448,0.0006757799329695185,0.0008270378091505667,0.5444079271493574,0.5818840447593854,0.5589999999999999,0.004501899529714137,0.00020658716504646325,0.0008270378091505667,1.0,0.0,0.004501899529714137,1.0,1.0
7,7,7,56.0,,56.0,0.00021355194087475883,0.0008893318738442774,0.0010626414106014823,0.5438287530517756,0.5788028649790172,0.5599999999999999,0.003950710850767791,0.00023560360145091552,0.0010626414106014823,1.0,0.0,0.003950710850767791,1.0,1.0
8,8,8,55.9,,55.9,0.000242333072835834,0.0011316649466801114,0.0013270350439959471,0.544108530736626,0.583682816883561,0.5589999999999999,0.0026832419447600842,0.0002643936333944648,0.0013270350439959471,1.0,0.0,0.0026832419447600842,1.0,1.0
9,9,9,56.3,,56.3,0.0002716894663406552,0.0014033544130207666,0.001620402061462879,0.5488224935827017,0.5846427102641296,0.563,0.002353521017357707,0.0002933670174669319,0.001620402061462879,1.0,0.0,0.002353521017357707,1.0,1.0
10,10,10,56.4,,56.4,0.0003008614905094344,0.001704215903530201,0.001943359887912127,0.5480042637886984,0.5869461637917588,0.564,0.0020992409845348448,0.0003229578264492481,0.001943359887912127,1.0,0.0,0.0020992409845348448,1.0,1.0
11,11,11,55.7,,55.7,0.00032968811822861415,0.0020339040217588152,0.0022951484554172437,0.5415377653450315,0.5739837711776797,0.5569999999999999,0.0016843701363541187,0.0003517885675051168,0.0022951484554172437,1.0,0.0,0.0016843701363541187,1.0,1.0
12,12,12,55.9,,55.9,0.00035943313403576403,0.002393337155794579,0.002676583304549824,0.5428367267016285,0.5728786938461383,0.5589999999999999,0.0016005790181225165,0.0003814348491325802,0.002676583304549824,1.0,0.0,0.0016005790181225165,1.0,1.0
13,13,13,55.8,,55.8,0.0003888429457170897,0.002782180101511669,0.003087513958731195,0.5448724701844977,0.5853270839807067,0.5579999999999999,0.0012002908508293331,0.00041093065418137123,0.003087513958731195,1.0,0.0,0.0012002908508293331,1.0,1.0
14,14,14,55.6,,55.6,0.00041833870740484903,0.003200518808916518,0.0035279517397077695,0.5386357198369451,0.5710780109688847,0.5559999999999999,0.0013783812260953709,0.0004404377809765743,0.0035279517397077695,1.0,0.0,0.0013783812260953709,1.0,1.0
15,15,15,56.0,,56.0,0.00044777096583970054,0.0036482897747562183,0.003997820786841855,0.5462933688830653,0.5817219905194932,0.56,0.00104659317585174,0.00046986904713408503,0.003997820786841855,1.0,0.0,0.00104659317585174,1.0,1.0
16,16,16,56.1,,56.1,0.00047726725913691486,0.004125557033893133,0.004497123804559416,0.5438033565561985,0.5837975840148486,0.5609999999999999,0.0009885286359349265,0.0004993030177175618,0.004497123804559416,1.0,0.0,0.0009885286359349265,1.0,1.0
17,17,17,56.6,,56.6,0.000506785941047197,0.00463234297494033,0.005025956877990352,0.5496107573848853,0.5853036551818717,0.5660000000000001,0.000940321118105203,0.0005288330734309357,0.005025956877990352,1.0,0.0,0.000940321118105203,1.0,1.0
18,18,18,57.2,,57.2,0.0005361609748542038,0.005168503949794534,0.005584184100000706,0.5570608061175896,0.5956766606977102,0.572,0.0010369119554525241,0.0005582272220103539,0.005584184100000706,1.0,0.0,0.0010369119554525241,1.0,1.0
19,19,19,56.0,,56.0,0.0005654881253572467,0.005733992075151781,0.006171710120338055,0.5441604784209926,0.580897885037758,0.56,0.0007679367452510632,0.0005875260203373489,0.006171710120338055,1.0,0.0,0.0007679367452510632,1.0,1.0
20,20,20,56.2,,56.2,0.0005950008003185522,0.006328992875470333,0.006788768441197835,0.5470256108245029,0.587294853333516,0.562,0.001168429736571852,0.0006170583208597799,0.006788768441197835,1.0,0.0,0.001168429736571852,1.0,1.0
21,21,21,56.7,,56.7,0.0006239705056869385,0.006952963381157271,0.007434808486717801,0.5515026891120679,0.5946148215590296,0.5670000000000001,0.0017035337659763172,0.0006460400455199662,0.007434808486717801,1.0,0.0,0.0017035337659763172,1.0,1.0
22,22,22,56.7,,56.7,0.0006530019010957545,0.007605965282253026,0.008109855868009525,0.5514103966524345,0.5856918495875123,0.567,0.0007888096166425385,0.0006750473812917238,0.008109855868009525,1.0,0.0,0.0007888096166425385,1.0,1.0
23,23,23,56.8,,56.8,0.0006824143990350615,0.008288379681288087,0.008814286235288796,0.5533363706788934,0.5945730392658168,0.568,0.000780993135413155,0.0007044303672792722,0.008814286235288796,1.0,0.0,0.000780993135413155,1.0,1.0
24,24,24,56.8,,56.8,0.0007118555065151961,0.009000235187803282,0.009548176929368872,0.5517946949502341,0.5941855190295036,0.568,0.0005602883160463534,0.0007338906940800753,0.009548176929368872,1.0,0.0,0.0005602883160463534,1.0,1.0
25,25,25,56.4,,56.4,0.0007414143189115092,0.009741649506714791,0.010311611533934437,0.5490464260825159,0.582328942203142,0.564,0.0007850031950511038,0.0007634346045655654,0.010311611533934437,1.0,0.0,0.0007850031950511038,1.0,1.0
