epoch,epoch,test_epoch,test_test_acc_new,test_test_acc_old,test_test_accuracy,test_test_co2,test_test_co2_cum,test_test_co2_train_cum,test_test_f1,test_test_precision,test_test_recall,train_ce_loss,train_co2,train_co2_cum,train_f1,train_kd_loss,train_loss,train_precision,train_recall
0,0,0,56.4,,56.4,8.541106109181681e-06,8.541106109181681e-06,3.235175803575551e-05,0.5634750087849891,0.609512746506206,0.5640000000000001,1.2299931913614273,3.235175803575551e-05,3.235175803575551e-05,0.8756512119884933,0.0,1.2299931913614273,0.8766615579747186,0.8754
1,1,1,56.4,,56.4,4.072026599219671e-05,4.926137210137839e-05,0.00010043101190528763,0.5531770811849486,0.5848820325697228,0.564,0.4184311479330063,6.807925386953211e-05,0.00010043101190528763,0.9756475879121556,0.0,0.4184311479330063,0.9757551715411426,0.9756
2,2,2,60.4,,60.4,7.309644862975871e-05,0.0001223578207311371,0.00020085858633957904,0.5951294439330154,0.6281547691116482,0.6039999999999999,0.1633908674120903,0.00010042757443429141,0.00020085858633957904,0.9960043369605293,0.0,0.1633908674120903,0.9960224264514345,0.9960000000000001
3,3,3,59.5,,59.5,0.0001054730158262719,0.000227830836557409,0.0003335886903591955,0.5846187709658405,0.6288651973391666,0.5950000000000001,0.05468186168000102,0.00013273010401961645,0.0003335886903591955,0.9993999995999996,0.0,0.05468186168000102,0.9994007984031935,0.9994
4,4,4,61.3,,61.3,0.0001377442181106321,0.00036557505466804107,0.0004986397254443441,0.6043763233873499,0.6426795538183429,0.6130000000000001,0.025226035760715602,0.00016505103508514862,0.0004986397254443441,0.9997999997999998,0.0,0.025226035760715602,0.9998003992015967,0.9997999999999999
5,5,5,59.2,,59.2,0.00017007545051362134,0.0005356505051816624,0.0006960317163795621,0.5774895281667931,0.6166948663685784,0.592,0.01160620292648673,0.000197391990935218,0.0006960317163795621,1.0,0.0,0.01160620292648673,1.0,1.0
6,6,6,60.4,,60.4,0.0002023453558229553,0.0007379958610046176,0.0009257145900116076,0.5905185956121388,0.6453388176060825,0.6040000000000001,0.00966062736697495,0.00022968287363204557,0.0009257145900116076,1.0,0.0,0.00966062736697495,1.0,1.0
7,7,7,61.3,,61.3,0.00023475973719436625,0.0009727555981989839,0.0011877225484561976,0.5956833084978705,0.64350429168944,0.6129999999999999,0.011497379245702178,0.00026200795844458994,0.0011877225484561976,1.0,0.0,0.011497379245702178,1.0,1.0
8,8,8,62.3,,62.3,0.0002671536421373748,0.0012399092403363586,0.0014821750473431108,0.613016013065171,0.6543197919575934,0.623,0.007098719500936568,0.00029445249888691323,0.0014821750473431108,1.0,0.0,0.007098719500936568,1.0,1.0
9,9,9,60.9,,60.9,0.00029961328768374554,0.0015395225280201042,0.0018090548478547994,0.5999254758280294,0.6504908966812596,0.6090000000000001,0.006841447169426829,0.0003268798005116887,0.0018090548478547994,1.0,0.0,0.006841447169426829,1.0,1.0
10,10,10,61.2,,61.2,0.0003321832387854217,0.001871705766805526,0.0021684226522963586,0.5984408615240364,0.6497219922578639,0.612,0.003618151496630162,0.00035936780444155897,0.0021684226522963586,1.0,0.0,0.003618151496630162,1.0,1.0
11,11,11,60.6,,60.6,0.00036513420816597277,0.0022368399749714985,0.002560447508924161,0.5908464902460235,0.6433343630107986,0.6060000000000001,0.005857984797330573,0.00039202485662780226,0.002560447508924161,1.0,0.0,0.005857984797330573,1.0,1.0
12,12,12,62.0,,62.0,0.0003977052223967717,0.0026345451973682705,0.002985378722615174,0.6052292679881294,0.650995393531611,0.6199999999999999,0.008165581303182989,0.000424931213691013,0.002985378722615174,1.0,0.0,0.008165581303182989,1.0,1.0
13,13,13,61.7,,61.7,0.00043033552759227993,0.0030648807249605502,0.0034429664484302187,0.6021285729892764,0.645245563140017,0.617,0.004160565236816183,0.0004575877258150447,0.0034429664484302187,1.0,0.0,0.004160565236816183,1.0,1.0
14,14,14,60.9,,60.9,0.0004632681585909174,0.0035281488835514677,0.00393347838119435,0.5935129411589687,0.6432768618649685,0.609,0.0015720911382231862,0.0004905119327641317,0.00393347838119435,1.0,0.0,0.0015720911382231862,1.0,1.0
15,15,15,62.2,,62.2,0.000495636523964724,0.004023785407516192,0.004456391713224132,0.610227226628123,0.6584137192812947,0.622,0.0015576893114484847,0.0005229133320297819,0.004456391713224132,1.0,0.0,0.0015576893114484847,1.0,1.0
16,16,16,62.1,,62.1,0.0005282701435881941,0.004552055551104386,0.005011872463934508,0.6082941889544162,0.661393875048999,0.6209999999999999,0.00258338653948158,0.0005554807507103758,0.005011872463934508,1.0,0.0,0.00258338653948158,1.0,1.0
17,17,17,61.8,,61.8,0.0005612586840607606,0.005113314235165147,0.005600400631542295,0.6063903989367523,0.6543672158685702,0.618,0.0017100480297813192,0.0005885281676077875,0.005600400631542295,1.0,0.0,0.0017100480297813192,1.0,1.0
18,18,18,62.1,,62.1,0.0005937230724377634,0.00570703730760291,0.006221419803643739,0.6077925033171668,0.6555922146931757,0.621,0.001711680309381336,0.0006210191721014439,0.006221419803643739,1.0,0.0,0.001711680309381336,1.0,1.0
19,19,19,62.2,,62.2,0.0006261597911219252,0.006333197098724835,0.006874843126047946,0.6123906275928264,0.660285197315933,0.6220000000000001,0.0014853022250463255,0.0006534233224042068,0.006874843126047946,1.0,0.0,0.0014853022250463255,1.0,1.0
20,20,20,62.3,,62.3,0.0006585942647914834,0.006991791363516318,0.0075607308798713415,0.6093062708505965,0.6592979722219653,0.623,0.0014172865368891508,0.000685887753823396,0.0075607308798713415,1.0,0.0,0.0014172865368891508,1.0,1.0
21,21,21,62.1,,62.1,0.0006911372487913768,0.007682928612307695,0.008279061567676837,0.606997464680741,0.6562300589963888,0.6209999999999999,0.0007336838709306904,0.000718330687805495,0.008279061567676837,1.0,0.0,0.0007336838709306904,1.0,1.0
22,22,22,62.5,,62.5,0.0007234527405885342,0.008406381352896229,0.009029826544351352,0.6109253741781433,0.6616287479315682,0.625,0.0004992467118427157,0.000750764976674515,0.009029826544351352,1.0,0.0,0.0004992467118427157,1.0,1.0
23,23,23,61.9,,61.9,0.000755930337621099,0.009162311690517328,0.009813048442776943,0.6045195383906277,0.6566254163026227,0.619,0.0005000875607947819,0.0007832218984255919,0.009813048442776943,1.0,0.0,0.0005000875607947819,1.0,1.0
24,24,24,62.4,,62.4,0.0007885191952964815,0.00995083088581381,0.010628792655768757,0.6109201317195,0.663925097098535,0.624,0.0005359012764529325,0.0008157442129918133,0.010628792655768757,1.0,0.0,0.0005359012764529325,1.0,1.0
25,25,25,62.5,,62.5,0.0008209376539900918,0.010771768539803902,0.01147703494349175,0.6109465526110335,0.6619919009542662,0.6249999999999999,0.0004003336114692502,0.0008482422877229945,0.01147703494349175,1.0,0.0,0.0004003336114692502,1.0,1.0
26,26,26,62.9,,62.9,0.0008533969979319979,0.0116251655377359,0.01235772381885111,0.6150318669766167,0.665763690667136,0.6290000000000001,0.0004623708184226416,0.0008806888753593589,0.01235772381885111,1.0,0.0,0.0004623708184226416,1.0,1.0
